/home/nina/PycharmProjects/HW/lec_11/task_1/hohoh
/home/nina/PycharmProjects/HW/lec_2/hw1.txt
         623212 function calls (521212 primitive calls) in 1.927 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
        3    0.000    0.000    0.000    0.000 argparse.py:1235(__init__)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       40    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
       49    0.000    0.000    0.000    0.000 inspect.py:286(isroutine)
       87    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
      108    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      296    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       62    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        2    0.000    0.000    0.000    0.000 locale.py:345(_replace_encoding)
       56    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
       48    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.007    0.007 platforms.py:16(<module>)
        1    0.000    0.000    0.001    0.001 docstrings.py:50(<module>)
        1    0.000    0.000    0.006    0.006 tempfile.py:24(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        4    0.000    0.000    0.000    0.000 enum.py:767(_create_pseudo_member_)
       28    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       59    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        6    0.000    0.000    0.000    0.000 argparse.py:1453(_get_optional_kwargs)
        1    0.000    0.000    1.883    1.883 core.py:359(_Fire)
